name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Progeny,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/0SWfNpzeFpP0PXa7bujUmz,2000-04-25,Hans Zimmer,german soundtrack,45,0.183,0.0164,2,-35.796,1,0.0393,0.811,0.961,0.121,0.0359,99.216,133600,5
The Wheat,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/0t8BbIcYYG0aICc1YEPWdd,2000-04-25,Lisa Gerrard,ethereal wave,38,0.25,0.0339,2,-33.147,1,0.0363,0.984,0.856,0.104,0.0742,84.191,63267,4
The Battle,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/56P8zbMtfKLlmpUWW3xAzf,2000-04-25,Hans Zimmer,german soundtrack,44,0.203,0.378,7,-14.317,1,0.0477,0.664,0.915,0.117,0.101,168.788,602227,3
Earth,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/4mWNwMmBADo548bT4xYtDo,2000-04-25,Hans Zimmer,german soundtrack,47,0.17,0.0504,4,-29.687,0,0.0377,0.759,0.948,0.112,0.0963,127.418,181867,5
Sorrow,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/41FnNTSyRaEw4m4kaGr7h5,2000-04-25,Klaus Badelt,german soundtrack,38,0.2,0.133,8,-23.052,1,0.0415,0.821,0.852,0.12,0.0433,84.544,86307,4
To Zuccabar,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/5GPUE1hsIeaM8RpKNKVZmg,2000-04-25,Hans Zimmer,german soundtrack,38,0.177,0.192,8,-27.06,1,0.064,0.88,0.919,0.11,0.0835,112.363,196093,3
Patricide,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/51DWBtkBNneXnpYBuI1F7f,2000-04-25,Hans Zimmer,german soundtrack,33,0.177,0.0817,7,-21.214,0,0.039,0.445,0.899,0.148,0.0375,65.855,248067,3
The Emperor Is Dead,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/6zln8XF6yTVmLXVED5KgRm,2000-04-25,Klaus Badelt,german soundtrack,39,0.237,0.0118,9,-34.379,1,0.0493,0.944,0.96,0.127,0.0307,109.537,81707,5
The Might of Rome,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/6eJszgeRyg6D1n0kCvVbF0,2000-04-25,Hans Zimmer,german soundtrack,34,0.274,0.332,9,-16.687,1,0.0331,0.117,0.893,0.111,0.0357,80.048,318427,4
Strength And Honor,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/5PlI0wHjeSm7WxPDw90HCN,2000-04-25,Hans Zimmer,german soundtrack,36,0.191,0.0633,0,-28.951,1,0.0408,0.645,0.964,0.12,0.0353,94.046,129907,3
Reunion,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/7gYoP1K9A9c17aVdgwomgM,2000-04-25,Klaus Badelt,german soundtrack,33,0.186,0.0616,5,-27.183,1,0.0623,0.965,0.953,0.344,0.0398,129.962,74133,4
Slaves To Rome,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/3EHrGsixrFagpZXZZIucp6,2000-04-25,Hans Zimmer,german soundtrack,32,0.401,0.516,9,-14.506,0,0.0329,0.755,0.915,0.149,0.492,68.101,60493,4
Barbarian Horde,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/3mJ2cMLZy2GlCQsS1gcs7e,2000-04-25,Hans Zimmer,german soundtrack,34,0.101,0.432,2,-13.767,0,0.0478,0.587,0.926,0.104,0.0489,82.172,633107,3
Am I Not Merciful?,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/2SGa3eKYVadfZ22PSKU4YK,2000-04-25,Hans Zimmer,german soundtrack,33,0.0883,0.0809,2,-21.19,0,0.0402,0.116,0.557,0.112,0.0373,86.525,393467,4
Elysium,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/20rmtxljOGVz4T3nSrtAV1,2000-04-25,Klaus Badelt,german soundtrack,58,0.0833,0.0715,9,-25.107,1,0.0447,0.732,0.892,0.139,0.0372,83.268,161493,5
Honor Him,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/0p21vI2StdprWPtAGftM5c,2000-04-25,Hans Zimmer,german soundtrack,54,0.148,0.105,6,-23.824,0,0.042,0.857,0.89,0.117,0.0392,68.535,79840,4
Now We Are Free,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/1elGwF4VwkwglV4nCBPJtv,2000-04-25,Hans Zimmer,german soundtrack,66,0.328,0.219,9,-18.595,1,0.0337,0.579,0.0991,0.104,0.0387,138.022,254293,4
